"reaction","species","role","stoich","lna_mass_flux","lna_molar_flux","lwac_mass_flux","lwac_molar_flux"
"R_10FTHFGLULL","M_10fthfglu_L_c","product","1","0","0","0","0"
"R_10FTHFGLULL","M_10fthf_c","substrate","1","0","0","0","0"
"R_10FTHFGLULL","M_adp_c","product","1",,,,
"R_10FTHFGLULL","M_atp_c","substrate","1",,,,
"R_10FTHFGLULL","M_glu_L_c","substrate","1","0","0","0","0"
"R_10FTHFGLULL","M_pi_c","product","1",,,,
"R_10FTHFGLULLm","M_10fthfglu_L_m","product","1","0","0","0","0"
"R_10FTHFGLULLm","M_10fthf_m","substrate","1","0","0","0","0"
"R_10FTHFGLULLm","M_adp_m","product","1",,,,
"R_10FTHFGLULLm","M_atp_m","substrate","1",,,,
"R_10FTHFGLULLm","M_glu_L_m","substrate","1","0","0","0","0"
"R_10FTHFGLULLm","M_pi_m","product","1",,,,
"R_10FTHFtx","M_10fthf_c","substrate","1","0","0","0","0"
"R_10FTHFtx","M_10fthf_x","product","1","0","0","0","0"
"R_13HODEOR","M_13oocdcy1829Z11Ea_c","product","1","0","0","0","0"
"R_13HODEOR","M_13Shocdcy1829Z11Ea_c","substrate","1","0","0","0","0"
"R_13HODEOR","M_h_c","product","1",,,,
"R_13HODEOR","M_nadh_c","product","1",,,,
"R_13HODEOR","M_nad_c","substrate","1",,,,
"R_13HPODEDH","M_13Shocdcy1829Z11Ea_c","product","1","0","0","0","0"
"R_13HPODEDH","M_13Shpocdcy1829Z11Ea_c","substrate","1","0","0","0","0"
"R_13HPODEDH","M_h2o_c","product","1",,,,
"R_13HPODEDH","M_h_c","substrate","2",,,,
"R_1ACPCth","M_1acpc_c","substrate","1","0","0","-4.4566386821727","-0.0440797813"
"R_1ACPCth","M_1acpc_h","product","1","0","0","-4.4566386821727","-0.0440797813"
"R_1ACPCtm","M_1acpc_c","substrate","1","0","0","4.4566386821727","0.0440797813"
"R_1ACPCtm","M_1acpc_m","product","1","0","0","4.4566386821727","0.0440797813"
"R_1AGPEAT1801819Z","M_1agpe180_c","substrate","1","1.77395839579752","0.0036834415","0","0"
"R_1AGPEAT1801819Z","M_coa_c","product","1",,,,
"R_1AGPEAT1801819Z","M_ocdce9coa_c","substrate","1","3.7863926696117","0.0036834415","0","0"
"R_1AGPEAT1801819Z","M_pe1801819Z_c","product","1","2.74803006138184","0.0036834415","0","0"
"R_1AGPEAT1801829Z12Z","M_1agpe180_c","substrate","1","0","0","0","0"
"R_1AGPEAT1801829Z12Z","M_coa_c","product","1",,,,
"R_1AGPEAT1801829Z12Z","M_lnlccoa_c","substrate","1","0","0","0","0"
"R_1AGPEAT1801829Z12Z","M_pe1801829Z12Z_c","product","1","0","0","0","0"
"R_1AGPEAT1801835Z9Z12Z","M_1agpe180_c","substrate","1","0","0","0","0"
"R_1AGPEAT1801835Z9Z12Z","M_coa_c","product","1",,,,
"R_1AGPEAT1801835Z9Z12Z","M_pacoa_c","substrate","1","0","0","0","0"
"R_1AGPEAT1801835Z9Z12Z","M_pe1801835Z9Z12Z_c","product","1","0","0","0","0"
"R_1AGPEAT1801845Z9Z12Z15Z","M_1agpe180_c","substrate","1","0","0","0","0"
"R_1AGPEAT1801845Z9Z12Z15Z","M_cacoa_c","substrate","1","0","0","0","0"
"R_1AGPEAT1801845Z9Z12Z15Z","M_coa_c","product","1",,,,
"R_1AGPEAT1801845Z9Z12Z15Z","M_pe1801845Z9Z12Z15Z_c","product","1","0","0","0","0"
"R_1AGPEAT18111Z1819Z","M_1agpe18111Z_c","substrate","1","0","0","2.54559048263265","0.0053078734"
"R_1AGPEAT18111Z1819Z","M_coa_c","product","1",,,,
"R_1AGPEAT18111Z1819Z","M_ocdce9coa_c","substrate","1","0","0","5.45622699124907","0.0053078734"
"R_1AGPEAT18111Z1819Z","M_pe18111Z1819Z_c","product","1","0","0","3.94923679639892","0.0053078734"
"R_1AGPEAT18111Z1829Z12Z","M_1agpe18111Z_c","substrate","1","0","0","0","0"
"R_1AGPEAT18111Z1829Z12Z","M_coa_c","product","1",,,,
"R_1AGPEAT18111Z1829Z12Z","M_lnlccoa_c","substrate","1","0","0","0","0"
"R_1AGPEAT18111Z1829Z12Z","M_pe18111Z1829Z12Z_c","product","1","0","0","0","0"
"R_1AGPEAT18111Z1835Z9Z12Z","M_1agpe18111Z_c","substrate","1","0","0","0","0"
"R_1AGPEAT18111Z1835Z9Z12Z","M_coa_c","product","1",,,,
"R_1AGPEAT18111Z1835Z9Z12Z","M_pacoa_c","substrate","1","0","0","0","0"
"R_1AGPEAT18111Z1835Z9Z12Z","M_pe18111Z1835Z9Z12Z_c","product","1","0","0","0","0"
"R_1AGPEAT18111Z1845Z9Z12Z15Z","M_1agpe18111Z_c","substrate","1","0","0","0","0"
"R_1AGPEAT18111Z1845Z9Z12Z15Z","M_cacoa_c","substrate","1","0","0","0","0"
"R_1AGPEAT18111Z1845Z9Z12Z15Z","M_coa_c","product","1",,,,
"R_1AGPEAT18111Z1845Z9Z12Z15Z","M_pe18111Z1845Z9Z12Z15Z_c","product","1","0","0","0","0"
"R_1AGPEAT1819Z1819Z","M_1agpe1819Z_c","substrate","1","0","0","0","0"
"R_1AGPEAT1819Z1819Z","M_coa_c","product","1",,,,
"R_1AGPEAT1819Z1819Z","M_ocdce9coa_c","substrate","1","0","0","0","0"
"R_1AGPEAT1819Z1819Z","M_pe1819Z1819Z_c","product","1","0","0","0","0"
"R_1AGPEAT1819Z1829Z12Z","M_1agpe1819Z_c","substrate","1","0","0","0","0"
"R_1AGPEAT1819Z1829Z12Z","M_coa_c","product","1",,,,
"R_1AGPEAT1819Z1829Z12Z","M_lnlccoa_c","substrate","1","0","0","0","0"
"R_1AGPEAT1819Z1829Z12Z","M_pe1819Z1829Z12Z_c","product","1","0","0","0","0"
"R_1AGPEAT1819Z1835Z9Z12Z","M_1agpe1819Z_c","substrate","1","0","0","0","0"
"R_1AGPEAT1819Z1835Z9Z12Z","M_coa_c","product","1",,,,
"R_1AGPEAT1819Z1835Z9Z12Z","M_pacoa_c","substrate","1","0","0","0","0"
"R_1AGPEAT1819Z1835Z9Z12Z","M_pe1819Z1835Z9Z12Z_c","product","1","0","0","0","0"
"R_1AGPEAT1819Z1845Z9Z12Z15Z","M_1agpe1819Z_c","substrate","1","0","0","0","0"
"R_1AGPEAT1819Z1845Z9Z12Z15Z","M_cacoa_c","substrate","1","0","0","0","0"
"R_1AGPEAT1819Z1845Z9Z12Z15Z","M_coa_c","product","1",,,,
"R_1AGPEAT1819Z1845Z9Z12Z15Z","M_pe1819Z1845Z9Z12Z15Z_c","product","1","0","0","0","0"
"R_1AGPEAT1829Z12Z1835Z9Z12Z","M_1agpe1829Z12Z_c","substrate","1","0","0","0","0"
"R_1AGPEAT1829Z12Z1835Z9Z12Z","M_coa_c","product","1",,,,
"R_1AGPEAT1829Z12Z1835Z9Z12Z","M_pacoa_c","substrate","1","0","0","0","0"
"R_1AGPEAT1829Z12Z1835Z9Z12Z","M_pe1829Z12Z1835Z9Z12Z_c","product","1","0","0","0","0"
"R_23DHMBth","M_23dhmb_c","substrate","1","0","0","0","0"
"R_23DHMBth","M_23dhmb_h","product","1","0","0","0","0"
"R_23DHMBtm","M_23dhmb_c","substrate","1","0","0","0","0"
"R_23DHMBtm","M_23dhmb_m","product","1","0","0","0","0"
"R_23DHMPth","M_23dhmp_c","substrate","1","-0.650760508798356","-0.0044224554","-1.08823213561452","-0.0073954366"
"R_23DHMPth","M_23dhmp_h","product","1","-0.650760508798356","-0.0044224554","-1.08823213561452","-0.0073954366"
"R_2DHPFALDL","M_2dhp_c","substrate","1","0","0","0","0"
"R_2DHPFALDL","M_3mob_c","product","1","0","0","0","0"
"R_2DHPFALDL","M_fald_c","product","1","0","0","0","0"
"R_2DHPtm","M_2dhp_c","substrate","1","0","0","0","0"
"R_2DHPtm","M_2dhp_m","product","1","0","0","0","0"
"R_2DHPtn","M_2dhp_c","substrate","1","0","0","0","0"
"R_2DHPtn","M_2dhp_n","product","1","0","0","0","0"
"R_2PGLYCth","M_2pglyc_c","product","1","0","0","0","0"
"R_2PGLYCth","M_2pglyc_h","substrate","1","0","0","0","0"
"R_2PGLYCtx","M_2pglyc_c","product","1","0","0","0","0"
"R_2PGLYCtx","M_2pglyc_x","substrate","1","0","0","0","0"
"R_2PGth","M_2pg_c","substrate","1","0","0","0","0"
"R_2PGth","M_2pg_h","product","1","0","0","0","0"
"R_2PGtm","M_2pg_c","substrate","1","0","0","-1398.05307174696","-7.6382393123"
"R_2PGtm","M_2pg_m","product","1","0","0","-1398.05307174696","-7.6382393123"
"R_34HPPt2m","M_34hpp_c","substrate","1","0","0","0","0"
"R_34HPPt2m","M_34hpp_m","product","1","0","0","0","0"
"R_34HPPt2m","M_h_c","substrate","1",,,,
"R_34HPPt2m","M_h_m","product","1",,,,
"R_34HPPYRI","M_2h34hppr_c","product","1","0","0","0","0"
"R_34HPPYRI","M_34hpp_c","substrate","1","0","0","0","0"
"R_3C3HMPth","M_3c3hmp_c","substrate","1","0","0","0","0"
"R_3C3HMPth","M_3c3hmp_h","product","1","0","0","0","0"
"R_3DSPHR","M_3dsphgn_c","substrate","1","0","0","0","0"
"R_3DSPHR","M_h_c","substrate","1",,,,
"R_3DSPHR","M_nadph_c","substrate","1",,,,
"R_3DSPHR","M_nadp_c","product","1","0","0","0","0"
"R_3DSPHR","M_sphgn_c","product","1","0","0","0","0"
"R_3HAD100","G_R_3HAD100_generic_M_3hdecACP_h","substrate","1",,,,
"R_3HAD100","G_R_3HAD100_protein_M_tdec2eACP_h","product","1",,,,
"R_3HAD100","M_h2o_h","product","1",,,,
