"species","species_type","compartment","mass"
"G_R_10FTHFGLULLm_cofactor_M_adp_m","G_R_10FTHFGLULLm_cofactor_M_adp_m","m","424.177502"
"G_R_10FTHFGLULLm_cofactor_M_atp_m","G_R_10FTHFGLULLm_cofactor_M_atp_m","m","503.149463"
"G_R_10FTHFGLULLm_cofactor_M_pi_m","G_R_10FTHFGLULLm_cofactor_M_pi_m","m","95.979301"
"G_R_10FTHFGLULL_cofactor_M_adp_c","G_R_10FTHFGLULL_cofactor_M_adp_c","c","424.177502"
"G_R_10FTHFGLULL_cofactor_M_atp_c","G_R_10FTHFGLULL_cofactor_M_atp_c","c","503.149463"
"G_R_10FTHFGLULL_cofactor_M_pi_c","G_R_10FTHFGLULL_cofactor_M_pi_c","c","95.979301"
"G_R_13HODEOR_cofactor_M_h_c","G_R_13HODEOR_cofactor_M_h_c","c","1.00794"
"G_R_13HODEOR_cofactor_M_nadh_c","G_R_13HODEOR_cofactor_M_nadh_c","c","663.425382"
"G_R_13HODEOR_cofactor_M_nad_c","G_R_13HODEOR_cofactor_M_nad_c","c","662.417442"
"G_R_13HPODEDH_cofactor_M_h2o_c","G_R_13HPODEDH_cofactor_M_h2o_c","c","18.01528"
"G_R_13HPODEDH_cofactor_M_h_c","G_R_13HPODEDH_cofactor_M_h_c","c","1.00794"
"G_R_1AGPEAT1801819Z_cofactor_M_coa_c","G_R_1AGPEAT1801819Z_cofactor_M_coa_c","c","763.503643"
"G_R_1AGPEAT1801829Z12Z_cofactor_M_coa_c","G_R_1AGPEAT1801829Z12Z_cofactor_M_coa_c","c","763.503643"
"G_R_1AGPEAT1801835Z9Z12Z_cofactor_M_coa_c","G_R_1AGPEAT1801835Z9Z12Z_cofactor_M_coa_c","c","763.503643"
"G_R_1AGPEAT1801845Z9Z12Z15Z_cofactor_M_coa_c","G_R_1AGPEAT1801845Z9Z12Z15Z_cofactor_M_coa_c","c","763.503643"
"G_R_1AGPEAT18111Z1819Z_cofactor_M_coa_c","G_R_1AGPEAT18111Z1819Z_cofactor_M_coa_c","c","763.503643"
"G_R_1AGPEAT18111Z1829Z12Z_cofactor_M_coa_c","G_R_1AGPEAT18111Z1829Z12Z_cofactor_M_coa_c","c","763.503643"
"G_R_1AGPEAT18111Z1835Z9Z12Z_cofactor_M_coa_c","G_R_1AGPEAT18111Z1835Z9Z12Z_cofactor_M_coa_c","c","763.503643"
"G_R_1AGPEAT18111Z1845Z9Z12Z15Z_cofactor_M_coa_c","G_R_1AGPEAT18111Z1845Z9Z12Z15Z_cofactor_M_coa_c","c","763.503643"
"G_R_1AGPEAT1819Z1819Z_cofactor_M_coa_c","G_R_1AGPEAT1819Z1819Z_cofactor_M_coa_c","c","763.503643"
"G_R_1AGPEAT1819Z1829Z12Z_cofactor_M_coa_c","G_R_1AGPEAT1819Z1829Z12Z_cofactor_M_coa_c","c","763.503643"
"G_R_1AGPEAT1819Z1835Z9Z12Z_cofactor_M_coa_c","G_R_1AGPEAT1819Z1835Z9Z12Z_cofactor_M_coa_c","c","763.503643"
"G_R_1AGPEAT1819Z1845Z9Z12Z15Z_cofactor_M_coa_c","G_R_1AGPEAT1819Z1845Z9Z12Z15Z_cofactor_M_coa_c","c","763.503643"
"G_R_1AGPEAT1829Z12Z1835Z9Z12Z_cofactor_M_coa_c","G_R_1AGPEAT1829Z12Z1835Z9Z12Z_cofactor_M_coa_c","c","763.503643"
"G_R_34HPPt2m_cofactor_M_h_c","G_R_34HPPt2m_cofactor_M_h_c","c","1.00794"
"G_R_34HPPt2m_cofactor_M_h_m","G_R_34HPPt2m_cofactor_M_h_m","m","1.00794"
"G_R_3DSPHR_cofactor_M_h_c","G_R_3DSPHR_cofactor_M_h_c","c","1.00794"
"G_R_3DSPHR_cofactor_M_nadph_c","G_R_3DSPHR_cofactor_M_nadph_c","c","741.389403"
"G_R_3HAD100_cofactor_M_h2o_h","G_R_3HAD100_cofactor_M_h2o_h","h","18.01528"
"G_R_3HAD100_generic_M_3hdecACP_h","G_R_3HAD100_generic_M_3hdecACP_h","h","203.32266"
"G_R_3HAD100_protein_M_tdec2eACP_h","G_R_3HAD100_protein_M_tdec2eACP_h","h","185.30738"
"G_R_3HAD120_cofactor_M_h2o_h","G_R_3HAD120_cofactor_M_h2o_h","h","18.01528"
"G_R_3HAD120_generic_M_3hddecACP_h","G_R_3HAD120_generic_M_3hddecACP_h","h","231.37582"
"G_R_3HAD120_protein_M_tddec2eACP_h","G_R_3HAD120_protein_M_tddec2eACP_h","h","213.36054"
"G_R_3HAD140_cofactor_M_h2o_h","G_R_3HAD140_cofactor_M_h2o_h","h","18.01528"
"G_R_3HAD140_protein_M_3hmrsACP_h","G_R_3HAD140_protein_M_3hmrsACP_h","h","259.42898"
"G_R_3HAD140_protein_M_tmrs2eACP_h","G_R_3HAD140_protein_M_tmrs2eACP_h","h","241.4137"
"G_R_3HAD160_cofactor_M_h2o_h","G_R_3HAD160_cofactor_M_h2o_h","h","18.01528"
"G_R_3HAD160_protein_M_3hpalmACP_h","G_R_3HAD160_protein_M_3hpalmACP_h","h","287.48214"
"G_R_3HAD160_protein_M_tpalm2eACP_h","G_R_3HAD160_protein_M_tpalm2eACP_h","h","269.46686"
"G_R_3HAD180_cofactor_M_h2o_h","G_R_3HAD180_cofactor_M_h2o_h","h","18.01528"
"G_R_3HAD180_protein_M_3hoctaACP_h","G_R_3HAD180_protein_M_3hoctaACP_h","h","315.5353"
"G_R_3HAD180_protein_M_toctd2eACP_h","G_R_3HAD180_protein_M_toctd2eACP_h","h","297.52002"
"G_R_3HAD181_cofactor_M_h2o_h","G_R_3HAD181_cofactor_M_h2o_h","h","18.01528"
